Question,Label
Định nghĩa lập trình hướng đối tượng (OOP).,BT1
Liệt kê bốn tính chất cơ bản của OOP.,BT1
Định nghĩa lớp (class).,BT1
Định nghĩa đối tượng (object).,BT1
Nêu cú pháp khai báo lớp trong Java.,BT1
Nêu cú pháp khai báo phương thức trong Java.,BT1
Trình bày khái niệm đóng gói (encapsulation).,BT1
Trình bày khái niệm kế thừa (inheritance).,BT1
Trình bày khái niệm đa hình (polymorphism).,BT1
Trình bày khái niệm trừu tượng (abstraction).,BT1
Nêu sự khác nhau giữa private và public.,BT1
Nêu vai trò của từ khóa static.,BT1
Nêu vai trò của từ khóa final.,BT1
Nêu cú pháp kế thừa trong Java.,BT1
Nêu cú pháp khai báo interface.,BT1
Kể tên các cấu trúc dữ liệu chính trong Collection Framework.,BT1
Nêu mục đích của constructor.,BT1
Nêu khái niệm method overloading.,BT1
Nêu khái niệm method overriding.,BT1
Kể tên các bước phân tích và thiết kế hướng đối tượng.,BT1
"Trong Java, từ khóa nào được sử dụng để một lớp kế thừa từ một lớp cha?",BT1
Đâu là kiểu dữ liệu số nguyên có kích thước lớn nhất (64-bit) trong Java?,BT1
Phương thức nào là điểm bắt đầu (entry point) để thực thi một ứng dụng Java?,BT1
Từ khóa nào dùng để khai báo một hằng số trong Java?,BT1
"Trong Java, một lớp có thể kế thừa tối đa bao nhiêu lớp cha trực tiếp?",BT1
"Để truy cập vào các thành phần của lớp cha từ lớp con, ta dùng từ khóa nào?",BT1
"Gói (package) mặc định chứa các lớp cơ bản như String, System trong Java là gì?",BT1
Từ khóa nào dùng để khai báo một phương thức không có thân hàm và bắt buộc lớp con phải ghi đè?,BT1
Đâu là ký hiệu dùng để bắt đầu một chú thích trên nhiều dòng trong Java?,BT1
Từ khóa interface dùng để làm gì trong lập trình hướng đối tượng?,BT1
"Trong Java Collection, interface nào là cha của ArrayList và Vector?",BT1
Một phương thức có kiểu trả về là void nghĩa là gì?,BT1
Từ khóa nào dùng để xử lý ngoại lệ bắt buộc trong khối lệnh?,BT1
Phạm vi truy cập (Access Modifier) nào cho phép truy cập từ bất kỳ đâu?,BT1
Phương thức khởi tạo (Constructor) có tên trùng với tên của cái gì?,BT1
Đối tượng (Object) là gì trong mối quan hệ với Lớp (Class)?,BT1
Từ khóa this trong Java tham chiếu đến đối tượng nào?,BT1
Lệnh nào dùng để thoát ra khỏi vòng lặp ngay lập tức?,BT1
"Định nghĩa chính xác nhất về ""Tính đa hình"" (Polymorphism) là gì?",BT1
"Để so sánh nội dung của hai chuỗi String, ta dùng phương thức nào?",BT1
Đâu là từ khóa dùng để khai báo một lớp trong Java?,BT1
Phương thức khởi tạo (Constructor) có kiểu trả về là gì?,BT1
Lớp nào là lớp cha của tất cả các lớp trong Java?,BT1
Từ khóa nào dùng để tạo một thực thể (instance) mới của một lớp?,BT1
File chứa mã nguồn Java sau khi biên dịch thành Bytecode có phần mở rộng là gì?,BT1
Ký hiệu nào dùng để kết thúc một câu lệnh trong Java?,BT1
Từ khóa nào được sử dụng để truy cập vào hằng số hoặc phương thức của Interface?,BT1
Đâu là từ khóa dùng để định nghĩa một khối mã luôn được thực thi dù có ngoại lệ hay không?,BT1
Tên biến trong Java có được bắt đầu bằng chữ số không?,BT1
Phương thức println() thuộc lớp nào trong gói java.lang?,BT1
Interface Comparable chứa phương thức duy nhất nào?,BT1
Đâu là từ khóa dùng để đại diện cho lớp hiện tại?,BT1
Lớp String trong Java nằm ở gói (package) nào?,BT1
Từ khóa nào dùng để ném ra một ngoại lệ cụ thể trong thân hàm?,BT1
Một lớp được khai báo là abstract thì có thể khởi tạo đối tượng trực tiếp không?,BT1
Kích thước của kiểu dữ liệu boolean trong Java là bao nhiêu?,BT1
Từ khóa nào dùng để chỉ định một phương thức không có giá trị trả về?,BT1
"Trong Java, chỉ số (index) của mảng bắt đầu từ số mấy?",BT1
Phương thức size() được dùng để lấy độ dài của cấu trúc dữ liệu nào?,BT1
Từ khóa nào dùng để ngăn một biến bị thay đổi giá trị sau khi khởi tạo?,BT1
Đâu là toán tử dùng để kiểm tra một đối tượng có thuộc về một lớp cụ thể hay không?,BT1
"Interface nào cung cấp phương thức add(), remove(), size() cho các danh sách?",BT1
Từ khóa nào dùng để khai báo một phương thức thuộc về lớp thay vì đối tượng?,BT1
Ký hiệu // trong Java dùng để làm gì?,BT1
Lớp nào dùng để đọc dữ liệu nhập vào từ bàn phím trong gói java.util?,BT1
Phương thức compareTo() trả về kiểu dữ liệu gì?,BT1
Từ khóa nào dùng để chỉ định quyền truy cập chỉ trong nội bộ lớp đó?,BT1
Đâu là phương thức dùng để chuyển đổi một đối tượng thành chuỗi ký tự?,BT1
Interface Comparator nằm trong gói nào của Java?,BT1
